state,location_type,name,Studio,1_bed,2_bed,3_bed,4_bed,avg_rent,minimum_wage,monthly_min_wage_income,hours_to_afford_avg_rent
Alabama,metro,"Anniston-Oxford-Jacksonville, AL MSA",683,687,903,1243,1319,967.0,7.25,1160.0,133.3793103448276
Alabama,metro,"Auburn-Opelika, AL MSA",801,901,1099,1487,1617,1181.0,7.25,1160.0,162.89655172413794
Alabama,metro,"Birmingham-Hoover, AL HUD Metro FMR Area",983,1109,1245,1570,1752,1331.8,7.25,1160.0,183.69655172413792
Alabama,metro,"Chilton County, AL HUD Metro FMR Area",682,690,857,1164,1168,912.2,7.25,1160.0,125.82068965517242
Alabama,metro,"Columbus, GA-AL HUD Metro FMR Area",828,881,1031,1372,1743,1171.0,7.25,1160.0,161.51724137931035
Alabama,metro,"Daphne-Fairhope-Foley, AL MSA",1051,1056,1362,1670,2114,1450.6,7.25,1160.0,200.08275862068965
Alabama,metro,"Decatur, AL MSA",740,763,924,1202,1352,996.2,7.25,1160.0,137.40689655172415
Alabama,metro,"Dothan, AL HUD Metro FMR Area",735,739,904,1220,1386,996.8,7.25,1160.0,137.4896551724138
Alabama,metro,"Florence-Muscle Shoals, AL MSA",664,720,940,1157,1425,981.2,7.25,1160.0,135.33793103448278
Alabama,metro,"Gadsden, AL MSA",637,817,940,1170,1252,963.2,7.25,1160.0,132.8551724137931
Alabama,metro,"Greene County, AL HUD Metro FMR Area",736,741,974,1178,1297,985.2,7.25,1160.0,135.8896551724138
Alabama,metro,"Henry County, AL HUD Metro FMR Area",648,652,857,1093,1144,878.8,7.25,1160.0,121.21379310344827
Alabama,metro,"Huntsville, AL MSA",900,1067,1248,1619,1937,1354.2,7.25,1160.0,186.78620689655173
Alabama,metro,"Mobile, AL HUD Metro FMR Area",810,890,1094,1448,1484,1145.2,7.25,1160.0,157.9586206896552
Alabama,metro,"Montgomery, AL MSA",836,913,1092,1383,1753,1195.4,7.25,1160.0,164.88275862068966
Alabama,metro,"Pickens County, AL HUD Metro FMR Area",683,687,857,1178,1448,970.6,7.25,1160.0,133.87586206896552
Alabama,metro,"Tuscaloosa, AL HUD Metro FMR Area",903,909,1125,1415,1498,1170.0,7.25,1160.0,161.3793103448276
Alabama,metro,"Washington County, AL HUD Metro FMR Area",713,785,962,1163,1302,985.0,7.25,1160.0,135.86206896551724
Alabama,county,Autauga County,836,913,1092,1383,1753,1195.4,7.25,1160.0,164.88275862068966
Alabama,county,Baldwin County,1051,1056,1362,1670,2114,1450.6,7.25,1160.0,200.08275862068965
Alabama,county,Barbour County,652,656,857,1089,1141,879.0,7.25,1160.0,121.24137931034483
Alabama,county,Bibb County,983,1109,1245,1570,1752,1331.8,7.25,1160.0,183.69655172413792
Alabama,county,Blount County,983,1109,1245,1570,1752,1331.8,7.25,1160.0,183.69655172413792
Alabama,county,Bullock County,642,666,857,1130,1283,915.6,7.25,1160.0,126.2896551724138
Alabama,county,Butler County,665,760,888,1074,1186,914.6,7.25,1160.0,126.15172413793104
Alabama,county,Calhoun County,683,687,903,1243,1319,967.0,7.25,1160.0,133.3793103448276
Alabama,county,Chambers County,814,820,1077,1302,1434,1089.4,7.25,1160.0,150.26206896551724
Alabama,county,Cherokee County,664,726,887,1072,1327,935.2,7.25,1160.0,128.99310344827586
Alabama,county,Chilton County,682,690,857,1164,1168,912.2,7.25,1160.0,125.82068965517242
Alabama,county,Choctaw County,642,666,857,1102,1454,944.2,7.25,1160.0,130.2344827586207
Alabama,county,Clarke County,642,666,857,1200,1454,963.8,7.25,1160.0,132.93793103448274
Alabama,county,Clay County,620,700,857,1175,1258,922.0,7.25,1160.0,127.17241379310344
Alabama,county,Cleburne County,669,694,894,1129,1338,944.8,7.25,1160.0,130.31724137931033
Alabama,county,Coffee County,713,725,952,1342,1472,1040.8,7.25,1160.0,143.55862068965516
Alabama,county,Colbert County,664,720,940,1157,1425,981.2,7.25,1160.0,135.33793103448278
Alabama,county,Conecuh County,642,666,857,1208,1283,931.2,7.25,1160.0,128.44137931034484
Alabama,county,Coosa County,658,683,879,1063,1315,919.6,7.25,1160.0,126.84137931034483
Alabama,county,Covington County,648,652,857,1133,1427,943.4,7.25,1160.0,130.12413793103448
Alabama,county,Crenshaw County,642,652,857,1036,1141,865.6,7.25,1160.0,119.39310344827587
Alabama,county,Cullman County,767,772,1002,1306,1462,1061.8,7.25,1160.0,146.4551724137931
Alabama,county,Dale County,743,754,857,1208,1454,1003.2,7.25,1160.0,138.37241379310345
Alabama,county,Dallas County,653,694,912,1129,1215,920.6,7.25,1160.0,126.9793103448276
Alabama,county,DeKalb County,642,652,857,1159,1391,940.2,7.25,1160.0,129.68275862068967
Alabama,county,Elmore County,836,913,1092,1383,1753,1195.4,7.25,1160.0,164.88275862068966
Alabama,county,Escambia County,642,705,857,1094,1275,914.6,7.25,1160.0,126.15172413793104
Alabama,county,Etowah County,637,817,940,1170,1252,963.2,7.25,1160.0,132.8551724137931
Alabama,county,Fayette County,642,763,857,1147,1283,938.4,7.25,1160.0,129.43448275862067
Alabama,county,Franklin County,642,763,857,1042,1321,925.0,7.25,1160.0,127.58620689655173
Alabama,county,Geneva County,735,739,904,1220,1386,996.8,7.25,1160.0,137.4896551724138
Alabama,county,Greene County,736,741,974,1178,1297,985.2,7.25,1160.0,135.8896551724138
Alabama,county,Hale County,903,909,1125,1415,1498,1170.0,7.25,1160.0,161.3793103448276
Alabama,county,Henry County,648,652,857,1093,1144,878.8,7.25,1160.0,121.21379310344827
Alabama,county,Houston County,735,739,904,1220,1386,996.8,7.25,1160.0,137.4896551724138
Alabama,county,Jackson County,642,748,857,1051,1406,940.8,7.25,1160.0,129.7655172413793
Alabama,county,Jefferson County,983,1109,1245,1570,1752,1331.8,7.25,1160.0,183.69655172413792
Alabama,county,Lamar County,716,720,857,1208,1283,956.8,7.25,1160.0,131.97241379310344
Alabama,county,Lauderdale County,664,720,940,1157,1425,981.2,7.25,1160.0,135.33793103448278
Alabama,county,Lawrence County,740,763,924,1202,1352,996.2,7.25,1160.0,137.40689655172415
Alabama,county,Lee County,801,901,1099,1487,1617,1181.0,7.25,1160.0,162.89655172413794
Alabama,county,Limestone County,900,1067,1248,1619,1937,1354.2,7.25,1160.0,186.78620689655173
Alabama,county,Lowndes County,836,913,1092,1383,1753,1195.4,7.25,1160.0,164.88275862068966
Alabama,county,Macon County,672,683,898,1110,1524,977.4,7.25,1160.0,134.81379310344826
Alabama,county,Madison County,900,1067,1248,1619,1937,1354.2,7.25,1160.0,186.78620689655173
Alabama,county,Marengo County,642,763,857,1086,1316,932.8,7.25,1160.0,128.66206896551722
Alabama,county,Marion County,581,652,857,1091,1454,927.0,7.25,1160.0,127.86206896551724
Alabama,county,Marshall County,655,659,866,1166,1170,903.2,7.25,1160.0,124.57931034482759
Alabama,county,Mobile County,810,890,1094,1448,1484,1145.2,7.25,1160.0,157.9586206896552
Alabama,county,Monroe County,642,763,857,1208,1236,941.2,7.25,1160.0,129.82068965517243
Alabama,county,Montgomery County,836,913,1092,1383,1753,1195.4,7.25,1160.0,164.88275862068966
Alabama,county,Morgan County,740,763,924,1202,1352,996.2,7.25,1160.0,137.40689655172415
Alabama,county,Perry County,647,671,864,1136,1293,922.2,7.25,1160.0,127.2
Alabama,county,Pickens County,683,687,857,1178,1448,970.6,7.25,1160.0,133.87586206896552
Alabama,county,Pike County,825,839,1102,1332,1468,1113.2,7.25,1160.0,153.5448275862069
Alabama,county,Randolph County,642,763,857,1208,1283,950.6,7.25,1160.0,131.11724137931034
Alabama,county,Russell County,828,881,1031,1372,1743,1171.0,7.25,1160.0,161.51724137931035
Alabama,county,Shelby County,983,1109,1245,1570,1752,1331.8,7.25,1160.0,183.69655172413792
Alabama,county,St. Clair County,983,1109,1245,1570,1752,1331.8,7.25,1160.0,183.69655172413792
Alabama,county,Sumter County,763,792,1019,1232,1459,1053.0,7.25,1160.0,145.24137931034483
Alabama,county,Talladega County,615,693,908,1264,1299,955.8,7.25,1160.0,131.83448275862068
Alabama,county,Tallapoosa County,687,698,917,1171,1227,940.0,7.25,1160.0,129.6551724137931
Alabama,county,Tuscaloosa County,903,909,1125,1415,1498,1170.0,7.25,1160.0,161.3793103448276
Alabama,county,Walker County,642,652,857,1208,1294,930.6,7.25,1160.0,128.35862068965517
Alabama,county,Washington County,713,785,962,1163,1302,985.0,7.25,1160.0,135.86206896551724
Alabama,county,Wilcox County,779,808,1040,1257,1556,1088.0,7.25,1160.0,150.06896551724137
Alabama,county,Winston County,642,652,857,1175,1192,903.6,7.25,1160.0,124.63448275862069
Alaska,metro,"Anchorage, AK HUD Metro FMR Area",996,1107,1454,2049,2467,1614.6,11.91,1905.6,135.56675062972292
Alaska,metro,"Fairbanks, AK MSA",1116,1253,1646,2320,2793,1825.6,11.91,1905.6,153.28295549958017
Alaska,metro,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",919,974,1280,1804,2172,1429.8,11.91,1905.6,120.05037783375315
Alaska,county,Aleutians East Borough,957,1210,1358,1642,2077,1448.8,11.91,1905.6,121.64567590260285
Alaska,county,Aleutians West Census Area,1349,1515,1991,2407,3044,2061.2,11.91,1905.6,173.06465155331654
Alaska,county,Anchorage Municipality,996,1107,1454,2049,2467,1614.6,11.91,1905.6,135.56675062972292
Alaska,county,Bethel Census Area,1587,1597,1957,2366,2710,2043.4,11.91,1905.6,171.57010915197313
Alaska,county,Bristol Bay Borough,872,949,1237,1743,1892,1338.6,11.91,1905.6,112.39294710327455
Alaska,county,Chugach Census Area,989,1077,1404,1837,2147,1490.8,11.91,1905.6,125.17212426532325
Alaska,county,Copper River Census Area,832,906,1181,1545,1806,1254.0,11.91,1905.6,105.2896725440806
Alaska,county,Denali Borough,995,1083,1412,1847,2159,1499.2,11.91,1905.6,125.87741393786735
Alaska,county,Dillingham Census Area,903,1142,1282,1681,1707,1343.0,11.91,1905.6,112.76238455079765
Alaska,county,Fairbanks North Star Borough,1116,1253,1646,2320,2793,1825.6,11.91,1905.6,153.28295549958017
Alaska,county,Haines Borough,1036,1128,1470,1923,2248,1561.0,11.91,1905.6,131.06633081444164
Alaska,county,Hoonah-Angoon Census Area,936,1018,1329,1607,1770,1332.0,11.91,1905.6,111.83879093198992
Alaska,county,Juneau City and Borough,1138,1307,1679,2291,2299,1742.8,11.91,1905.6,146.33081444164566
Alaska,county,Kenai Peninsula Borough,984,990,1301,1833,2090,1439.6,11.91,1905.6,120.87321578505457
Alaska,county,Ketchikan Gateway Borough,1048,1177,1546,2140,2624,1707.0,11.91,1905.6,143.32493702770782
Alaska,county,Kodiak Island Borough,1228,1379,1812,2220,2622,1852.2,11.91,1905.6,155.51637279596977
Alaska,county,Kusilvak Census Area,638,694,905,1275,1384,979.2,11.91,1905.6,82.21662468513854
Alaska,county,Lake and Peninsula Borough,660,820,937,1320,1433,1034.0,11.91,1905.6,86.81780016792611
Alaska,county,Matanuska-Susitna Borough,919,974,1280,1804,2172,1429.8,11.91,1905.6,120.05037783375315
Alaska,county,Nome Census Area,1250,1258,1497,2110,2289,1680.8,11.91,1905.6,141.1251049538203
Alaska,county,North Slope Borough,1288,1447,1901,2299,2532,1893.4,11.91,1905.6,158.97565071368598
Alaska,county,Northwest Arctic Borough,1277,1434,1884,2611,2881,2017.4,11.91,1905.6,169.3870696893367
Alaska,county,Prince of Wales-Hyder Census Area,840,927,1041,1413,1420,1128.2,11.91,1905.6,94.72712006717045
Alaska,county,Sitka City and Borough,1044,1221,1466,2066,2488,1657.0,11.91,1905.6,139.12678421494542
Alaska,county,Skagway Municipality,1046,1174,1543,1866,2359,1597.6,11.91,1905.6,134.1393786733837
Alaska,county,Southeast Fairbanks Census Area,922,1083,1309,1708,2168,1438.0,11.91,1905.6,120.73887489504618
Alaska,county,Wrangell City and Borough,776,839,1102,1462,1468,1129.4,11.91,1905.6,94.82787573467675
Alaska,county,Yakutat City and Borough,916,997,1300,1586,1988,1357.4,11.91,1905.6,113.97145256087322
Alaska,county,Yukon-Koyukuk Census Area,929,955,1072,1453,1639,1209.6,11.91,1905.6,101.5617128463476
Alaska,county,Petersburg Borough,955,1099,1355,1638,2099,1429.2,11.91,1905.6,120.0
Arizona,metro,"Flagstaff, AZ MSA",1448,1537,1863,2253,2633,1946.8,14.7,2352.0,132.43537414965988
Arizona,metro,"Lake Havasu City-Kingman, AZ MSA",858,935,1211,1671,1847,1304.4,14.7,2352.0,88.73469387755102
Arizona,metro,"Phoenix-Mesa-Scottsdale, AZ MSA",1460,1599,1877,2541,2890,2073.4,14.7,2352.0,141.04761904761907
Arizona,metro,"Prescott Valley-Prescott, AZ MSA",951,1140,1403,1943,2273,1542.0,14.7,2352.0,104.89795918367348
Arizona,metro,"Sierra Vista-Douglas, AZ MSA",770,913,1067,1504,1811,1213.0,14.7,2352.0,82.5170068027211
Arizona,metro,"Tucson, AZ MSA",906,1018,1337,1884,2206,1470.2,14.7,2352.0,100.01360544217688
Arizona,metro,"Yuma, AZ MSA",956,962,1264,1752,2145,1415.8,14.7,2352.0,96.31292517006803
Arizona,county,Apache County,716,804,1057,1417,1461,1091.0,14.7,2352.0,74.21768707482994
Arizona,county,Cochise County,770,913,1067,1504,1811,1213.0,14.7,2352.0,82.5170068027211
Arizona,county,Coconino County,1448,1537,1863,2253,2633,1946.8,14.7,2352.0,132.43537414965988
Arizona,county,Gila County,855,960,1262,1778,1846,1340.2,14.7,2352.0,91.17006802721089
Arizona,county,Graham County,928,933,1157,1611,1963,1318.4,14.7,2352.0,89.68707482993199
Arizona,county,Greenlee County,742,974,1094,1323,1457,1118.0,14.7,2352.0,76.05442176870748
Arizona,county,La Paz County,801,900,1182,1666,2006,1311.0,14.7,2352.0,89.18367346938776
Arizona,county,Maricopa County,1460,1599,1877,2541,2890,2073.4,14.7,2352.0,141.04761904761907
Arizona,county,Mohave County,858,935,1211,1671,1847,1304.4,14.7,2352.0,88.73469387755102
